Pincode,Logistics Provider,TAT
100000,Provider B,3
100001,Provider A,5
100002,Provider B,2
100003,Provider A,3
100004,General Partners,3
100005,General Partners,2
100006,Provider B,5
100007,Provider A,4
100008,General Partners,4
100009,General Partners,2
100010,Provider B,5
100011,General Partners,3
100012,Provider A,3
100013,General Partners,2
100014,General Partners,2
100015,Provider A,3
100016,Provider A,2
100017,Provider A,5
100018,Provider B,5
100019,Provider A,2
100020,General Partners,3
100021,Provider A,4
100022,Provider A,3
100023,Provider B,4
100024,Provider B,4
100025,General Partners,5
100026,Provider B,3
100027,Provider B,5
100028,General Partners,2
100029,Provider A,4
100030,Provider A,4
100031,Provider B,5
100032,Provider A,3
100033,Provider A,4
100034,Provider B,2
100035,General Partners,4
100036,Provider A,5
100037,Provider A,2
100038,Provider B,5
100039,General Partners,4
100040,General Partners,3
100041,General Partners,4
100042,General Partners,5
100043,Provider B,2
100044,General Partners,5
100045,Provider B,3
100046,General Partners,2
100047,Provider B,3
100048,Provider A,3
100049,General Partners,4
100050,General Partners,5
100051,General Partners,2
100052,Provider B,2
100053,General Partners,2
100054,Provider A,3
100055,General Partners,4
100056,Provider B,4
100057,Provider B,4
100058,Provider A,4
100059,General Partners,2
100060,Provider B,2
100061,Provider B,5
100062,Provider A,2
100063,General Partners,3
100064,General Partners,3
100065,Provider B,4
100066,Provider B,3
100067,General Partners,4
100068,General Partners,4
100069,Provider A,5
100070,Provider B,5
100071,Provider A,5
100072,General Partners,4
100073,Provider A,5
100074,General Partners,3
100075,Provider A,2
100076,Provider A,4
100077,Provider B,4
100078,Provider A,4
100079,General Partners,5
100080,Provider B,4
100081,Provider B,5
100082,General Partners,5
100083,Provider A,2
100084,General Partners,4
100085,General Partners,3
100086,Provider A,2
100087,Provider A,5
100088,General Partners,5
100089,Provider B,5
100090,General Partners,4
100091,Provider B,2
100092,General Partners,2
100093,Provider A,5
100094,General Partners,5
100095,Provider B,4
100096,Provider A,5
100097,Provider A,4
100098,Provider A,3
100099,Provider B,4
100100,Provider A,2
100101,Provider A,4
100102,General Partners,5
100103,General Partners,3
100104,Provider A,3
100105,General Partners,4
100106,Provider A,2
100107,General Partners,2
100108,Provider A,2
100109,General Partners,2
100110,Provider A,2
100111,General Partners,2
100112,Provider A,2
100113,Provider A,4
100114,Provider B,3
100115,Provider B,3
100116,General Partners,4
100117,Provider B,4
100118,Provider A,3
100119,General Partners,5
100120,General Partners,4
100121,Provider B,4
100122,General Partners,2
100123,Provider A,4
100124,General Partners,3
100125,General Partners,5
100126,Provider B,2
100127,Provider A,4
100128,Provider B,3
100129,Provider A,4
100130,Provider A,5
100131,Provider B,3
100132,Provider A,3
100133,Provider A,4
100134,Provider B,3
100135,General Partners,3
100136,Provider A,5
100137,Provider A,3
100138,General Partners,5
100139,General Partners,5
100140,Provider A,2
100141,Provider B,3
100142,Provider A,4
100143,General Partners,4
100144,Provider B,4
100145,General Partners,3
100146,Provider A,4
100147,General Partners,4
100148,Provider A,2
100149,Provider B,4
100150,General Partners,3
100151,Provider A,5
100152,General Partners,2
100153,General Partners,2
100154,Provider B,5
100155,Provider B,4
100156,Provider A,3
100157,Provider B,3
100158,Provider A,4
100159,General Partners,2
100160,Provider A,5
100161,Provider A,3
100162,Provider A,3
100163,Provider B,5
100164,General Partners,3
100165,Provider A,5
100166,Provider B,4
100167,Provider B,5
100168,Provider B,4
100169,Provider A,5
100170,Provider B,2
100171,General Partners,4
100172,Provider A,3
100173,Provider B,4
100174,General Partners,3
100175,Provider B,2
100176,General Partners,3
100177,General Partners,3
100178,Provider A,3
100179,Provider B,4
100180,Provider B,4
100181,General Partners,5
100182,Provider A,4
100183,Provider B,5
100184,Provider A,3
100185,General Partners,3
100186,Provider A,5
100187,Provider B,4
100188,Provider A,4
100189,General Partners,3
100190,Provider B,5
100191,General Partners,2
100192,Provider B,5
100193,Provider A,3
100194,Provider A,2
100195,Provider B,5
